Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,10,CP-102B-ND,CONN PWR JACK 2.5X5.5MM SOLDER,,10,0,0.60000,6.00,
2,10,151-1119-ND,CONN MOD JACK 8P8C R/A SHIELDED,,10,0,1.88700,18.87,
3,25,A19450-ND,CONN HEADER RTANG 2POS .100 TIN,,25,0,0.08400,2.10,
4,69,296-19310-1-ND,IC OPAMP BUFFER 1GHZ SOT23-5,,69,0,2.57900,177.95,
5,500,490-4311-1-ND,CAP CER 2200PF 50V X7R 0306,,500,0,0.09746,48.73,
6,500,490-14600-1-ND,CAP CER 2.2UF 16V X5R 0402,,500,0,0.04604,23.02,
7,46,296-15172-1-ND,IC OPAMP VFB 3.9GHZ SOT23-6,,46,0,5.72900,263.53,
8,500,399-9057-1-ND,CAP CER 30PF 50V C0G/NP0 0603,,500,0,0.04604,23.02,
9,100,478-10205-1-ND,CAP CER 43PF 100V NP0 0603,,100,0,0.22770,22.77,
10,25,478-6720-1-ND,CAP CER 2.3PF 50V C0G/NP0 0603,,25,0,0.44100,11.03,
11,500,399-1061-1-ND,CAP CER 100PF 50V C0G/NP0 0603,,500,0,0.01062,5.31,
12,23,ADCMP553BRMZ-ND,IC COMPARATOR PECL/LVPECL 8MSOP,,23,0,4.87000,112.01,
13,23,MC100ELT21DGOS-ND,IC XLATOR TTL-PECL DIFF 8SOIC,,23,0,3.57000,82.11,
14,23,296-22859-1-ND,IC SWITCH DUAL SPDT 10MSOP,,23,0,0.78700,18.10,
15,100,296-11933-1-ND,IC BUFFER SCHMIT TRIG SOT23-5,,100,0,0.19570,19.57,
16,100,MCP6001T-I/OTCT-ND,IC OPAMP GP 1MHZ RRO SOT23-5,,100,0,0.18900,18.90,
17,100,LL101C-GS08CT-ND,DIODE SCHOTTKY 40V 30MA SOD80,,100,0,0.17570,17.57,
18,25,MAX9378EUA+-ND,IC TRANSLATOR SGL 8-UMAX,,25,0,9.35000,233.75,
19,52,3266W-103LF-ND,TRIMMER 10K OHM 0.25W PC PIN,,52,0,3.05500,158.86,
20,100,1SS387L3FCT-ND,DIODE GEN PURP 80V 100MA ESC,,100,0,0.12870,12.87,
21,25,A26543-ND,CONN HEADER VERT .100 2POS 15AU,,25,0,0.79400,19.85,
22,25,ED10563-ND,CONN TERM BLOCK 2.54MM 4POS PCB,,25,0,0.90400,22.60,
23,25,CT2064ST-ND,SWITCH SLIDE DIP SPST 50MA 24V,,25,0,0.87520,21.88,
24,7,MAX4634EUB+TCT-ND,IC MULTIPLEXER 4X1 10UMAX,,7,0,3.59000,25.13,
25,12,296-39196-5-ND,IC MULTIVIBRATOR DUAL 16-SOIC,,12,0,0.45000,5.40,
26,7,3310H-001-103L-ND,POT 10K OHM 1/4W PLASTIC LINEAR,,7,0,7.35000,51.45,
27,18,399-9371-1-ND,CAP CER 620PF 50V C0G/NP0 1206,,18,0,0.81700,14.71,
28,18,A26545-ND,CONN HEADER VERT .100 3POS 15AU,,18,0,0.92600,16.67,
29,10,DS90LV019TM/NOPB-ND,IC DRIVER/RECEIVER LVDS 14-SOIC,,10,0,2.54900,25.49,
30,12,732-7146-ND,FIXED IND 3UH 7.6A 8.5 MOHM TH,,12,0,1.87000,22.44,
31,7,1470-1968-5-ND,DC/DC CONVERTER +/-5V 10W,,7,0,24.73600,173.15,
32,7,102-2833-ND,DC/DC CONVERTER 15V 200MA 3W,,7,0,13.36200,93.53,
33,100,587-2988-1-ND,CAP CER 4.7UF 50V X5R 1206,,100,0,0.12040,12.04,
34,10,AIUR-07-120K-ND,FIXED IND 12UH 980MA 120 MOHM TH,,10,0,0.70000,7.00,
35,7,M8872-ND,FIXED IND 56UH 6.4A 26 MOHM TH,,7,0,3.42000,23.94,
36,100,P5184-ND,CAP ALUM 330UF 20% 50V RADIAL,,100,0,0.20920,20.92,
37,10,SMCJ48AFSCT-ND,TVS DIODE 48VWM 77.4VC SMC,,10,0,0.47800,4.78,
38,100,493-13464-1-ND,CAP ALUM 100UF 20% 50V RADIAL,,100,0,0.13690,13.69,
39,100,RLB0914-120KL-ND,FIXED IND 12UH 2.5A 55 MOHM TH,,100,0,0.21250,21.25,
40,100,P19712CT-ND,CAP ALUM 100UF 20% 50V RADIAL,,100,0,0.20760,20.76,
41,12,311-0.18LWCT-ND,RES 0.18 OHM 1% 1/4W 1206,,12,0,0.33000,3.96,
42,10,F1504-ND,FUSE BLOK CARTRIDGE 600V 10A PCB,,10,0,1.13700,11.37,
43,10,311-.4QCT-ND,RES 0.4 OHM 1% 1/10W 0603,,10,0,0.27200,2.72,
44,7,360-3351-ND,SWITCH PUSH SPDT 0.4VA 28V,,7,0,4.70000,32.90,
45,100,C503B-GCN-CY0C0791-ND,LED GREEN CLEAR 5MM ROUND T/H,,100,0,0.20980,20.98,
46,100,36-5001-ND,TEST POINT PC MINI .040"D BLACK,,100,0,0.22090,22.09,
47,25,36-1902E-ND,HEX STANDOFF 4-40 NYLON 1",,25,0,0.69700,17.43,
48,25,36-4808-ND,HEX STANDOFF 4-40 NYLON 1-1/4",,25,0,0.49400,12.35,
49,50,732-10381-ND,HEX STANDOFF M3 STEEL 5MM,,50,0,0.26400,13.20,
50,50,36-7689-1-ND,MACHINE SCREW COMBINATION M3,,50,0,0.17560,8.78,
51,5,HM1506-ND,BOX ALUM BLUE 8.66"L X 6.5"W,,5,0,31.32800,156.64,
52,100,311-39.0HRCT-ND,RES SMD 39 OHM 1% 1/10W 0603,,100,0,0.00600,0.60,
53,500,399-4925-1-ND,CAP CER 10UF 10V X5R 0805,,500,0,0.03086,15.43,
54,25,445-6007-1-ND,CAP CER 100UF 10V X5R 1206,,25,0,1.25200,31.30,
55,250,587-1755-1-ND,FERRITE BEAD 600 OHM 1210 1LN,,250,0,0.14256,35.64,
56,100,YAG3125DKR-ND,RES SMD 34.8K OHM 1% 1/16W 0402,,100,0,0.07550,7.55,
57,100,311-82.5HRCT-ND,RES SMD 82.5 OHM 1% 1/10W 0603,,100,0,0.00600,0.60,
58,100,311-124HRCT-ND,RES SMD 124 OHM 1% 1/10W 0603,,100,0,0.00600,0.60,
59,100,S9000-ND,CONN JUMPER SHORTING TIN,,100,0,0.03650,3.65,
60,100,311-10KGRCT-ND,RES SMD 10K OHM 5% 1/10W 0603,,100,0,0.00460,0.46,
61,100,709-1036-6-ND,CAP CER 1000PF 2KV X7R 1206,,100,0,0.11680,11.68,
62,100,493-11380-1-ND,CAP ALUM 12UF 20% 35V RADIAL,,100,0,0.10840,10.84,
