Ref,Value,MPN,DK,Footprint
R1,50,,,Resistors_SMD:R_0805
R2,400m,RL0603FR-070R4L,311-.4QCT-ND,Resistors_SMD:R_0603_HandSoldering
R3,300m,CSR2010JTR300,CSR2010JTR300CT-ND,Resistors_SMD:R_2010_HandSoldering
R4,2.67k,,,Resistors_SMD:R_0805_HandSoldering
R5,180m,RL1206FR-070R18L,311-0.18LWCT-ND,Resistors_SMD:R_1206_HandSoldering
R6,180m,RL1206FR-070R18L,311-0.18LWCT-ND,Resistors_SMD:R_1206_HandSoldering
R7,470,,,Resistors_SMD:R_0805_HandSoldering
R8,910,,,Resistors_SMD:R_0805_HandSoldering
R9,200,,,Resistors_SMD:R_0805_HandSoldering
R10,800,,,Resistors_SMD:R_0805_HandSoldering
R11,50,,,Resistors_SMD:R_0805
R12,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R13,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R14,470,RC0603FR-07470RL,311-470HRCT-ND,Resistors_SMD:R_0603
R15,3.3k,,,Capacitors_SMD:C_0805
R16,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R17,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R18,402,RC402FR-07402RL,YAG3125CT-ND,Resistors_SMD:R_0402
R19,6.8k,,,Resistors_SMD:R_0805
R20,50,,,Resistors_SMD:R_0805
R21,6.8k,,,Resistors_SMD:R_0805
R22,1k,,,Resistors_SMD:R_0805
R23,200,,,Resistors_SMD:R_0805
R24,82.5,RC0603FR-0782R5L,311-82.5HRCT-ND,Resistors_SMD:R_0603
R25,124,RC0603FR-07124RL,311-124HRCT-ND,Resistors_SMD:R_0603
R26,82.5,RC0603FR-0782R5L,311-82.5HRCT-ND,Resistors_SMD:R_0603
R27,124,RC0603FR-07124RL,311-124HRCT-ND,Resistors_SMD:R_0603
R28,10k,RC0603JR-0710KL,311-10KGRCT-ND,Resistors_SMD:R_0603_HandSoldering
R29,10k,RC0603JR-0710KL,311-10KGRCT-ND,Resistors_SMD:R_0603_HandSoldering
R30,10k,RC0603JR-0710KL,311-10KGRCT-ND,Resistors_SMD:R_0603_HandSoldering
R31,10k,RC0603JR-0710KL,311-10KGRCT-ND,Resistors_SMD:R_0603_HandSoldering
R32,10k,RC0603JR-0710KL,311-10KGRCT-ND,Resistors_SMD:R_0603_HandSoldering
R33,10k,RC0603JR-0710KL,311-10KGRCT-ND,Resistors_SMD:R_0603_HandSoldering
R34,10k,RC0603JR-0710KL,311-10KGRCT-ND,Resistors_SMD:R_0603_HandSoldering
R35,10k,RC0603JR-0710KL,311-10KGRCT-ND,Resistors_SMD:R_0603_HandSoldering
R36,10k,RC0603JR-0710KL,311-10KGRCT-ND,Resistors_SMD:R_0603_HandSoldering
R37,10k,RC0603JR-0710KL,311-10KGRCT-ND,Resistors_SMD:R_0603_HandSoldering
R38,10k,RC0603JR-0710KL,311-10KGRCT-ND,Resistors_SMD:R_0603_HandSoldering
R39,10k,RC0603JR-0710KL,311-10KGRCT-ND,Resistors_SMD:R_0603_HandSoldering
R40,50,,,Resistors_SMD:R_0805
R41,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R42,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R43,470,RC0603FR-07470RL,311-470HRCT-ND,Resistors_SMD:R_0603
R44,3.3k,,,Capacitors_SMD:C_0805
R45,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R46,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R47,402,RC402FR-07402RL,YAG3125CT-ND,Resistors_SMD:R_0402
R48,1k,,,Capacitors_SMD:C_0805
R49,1k,,,Capacitors_SMD:C_0805
R50,1k,,,Resistors_SMD:R_0805
R51,200,,,Resistors_SMD:R_0805
R52,82.5,RC0603FR-0782R5L,311-82.5HRCT-ND,Resistors_SMD:R_0603
R53,124,RC0603FR-07124RL,311-124HRCT-ND,Resistors_SMD:R_0603
R54,82.5,RC0603FR-0782R5L,311-82.5HRCT-ND,Resistors_SMD:R_0603
R55,124,RC0603FR-07124RL,311-124HRCT-ND,Resistors_SMD:R_0603
R56,7.15k,,,Resistors_SMD:R_0805
R57,7.15k,,,Resistors_SMD:R_0805
R58,7.15k,,,Resistors_SMD:R_0805
R59,7.15k,,,Resistors_SMD:R_0805
R60,50,,,Resistors_SMD:R_0805
R61,50,,,Resistors_SMD:R_0805
R62,50,,,Resistors_SMD:R_0805
R63,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R64,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R65,470,RC0603FR-07470RL,311-470HRCT-ND,Resistors_SMD:R_0603
R66,3.3k,,,Capacitors_SMD:C_0805
R67,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R68,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R69,402,RC402FR-07402RL,YAG3125CT-ND,Resistors_SMD:R_0402
R70,1k,,,Capacitors_SMD:C_0805
R71,50,,,Resistors_SMD:R_0805
R72,50,,,Resistors_SMD:R_0805
R73,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R74,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R75,470,RC0603FR-07470RL,311-470HRCT-ND,Resistors_SMD:R_0603
R76,3.3k,,,Capacitors_SMD:C_0805
R77,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R78,39,RC0603FR-0739RL,311-39.0HRTR-ND,Resistors_SMD:R_0603
R79,402,RC402FR-07402RL,YAG3125CT-ND,Resistors_SMD:R_0402
R80,1k,,,Capacitors_SMD:C_0805
R81,6.8k,,,Resistors_SMD:R_0805
R82,1k,,,Resistors_SMD:R_0805
R83,200,,,Resistors_SMD:R_0805
R84,82.5,RC0603FR-0782R5L,311-82.5HRCT-ND,Resistors_SMD:R_0603
R85,124,RC0603FR-07124RL,311-124HRCT-ND,Resistors_SMD:R_0603
R86,82.5,RC0603FR-0782R5L,311-82.5HRCT-ND,Resistors_SMD:R_0603
R87,124,RC0603FR-07124RL,311-124HRCT-ND,Resistors_SMD:R_0603
R88,6.8k,,,Resistors_SMD:R_0805
R89,1k,,,Resistors_SMD:R_0805
R90,200,,,Resistors_SMD:R_0805
R91,82.5,RC0603FR-0782R5L,311-82.5HRCT-ND,Resistors_SMD:R_0603
R92,124,RC0603FR-07124RL,311-124HRCT-ND,Resistors_SMD:R_0603
R93,82.5,RC0603FR-0782R5L,311-82.5HRCT-ND,Resistors_SMD:R_0603
R94,124,RC0603FR-07124RL,311-124HRCT-ND,Resistors_SMD:R_0603
R95,50,,,Resistors_SMD:R_0805
R96,50,,,Resistors_SMD:R_0805
R97,50,,,Resistors_SMD:R_0805
R98,50,,,Resistors_SMD:R_0805
R99,90,,,Capacitors_SMD:C_0805
R100,90,,,Capacitors_SMD:C_0805
R101,590,,,Capacitors_SMD:C_0805
RV1,10k,3266W-1-103LF,3266W-103LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
RV2,50k,3266W-1-503LF,3266W-503LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
RV3,10k,3266W-1-103LF,3266W-103LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
RV4,10k,3266W-1-103LF,3266W-103LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
RV5,10k,3266W-1-103LF,3266W-103LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
RV6,10k,3266W-1-103LF,3266W-103LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
RV7,10k,3266W-1-103LF,3266W-103LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
RV8,50k,3266W-1-503LF,3266W-503LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
RV9,10k,3266W-1-103LF,3266W-103LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
RV10,10k,3266W-1-103LF,3266W-103LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
RV11,50k,3266W-1-503LF,3266W-503LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
RV12,10k,3266W-1-103LF,3266W-103LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
RV13,50k,3266W-1-503LF,3266W-503LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
RV14,10k,3266W-1-103LF,3266W-103LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
RV15,10k,3266W-1-103LF,3266W-103LF-ND,Potentiometers:Potentiometer_Trimmer_Bourns_3266W
